emp_no,first_name,last_name,title,from_date
29747,Stevo,Kampfer,Senior Staff,7/11/2000
29754,Guadalupe,Reghbati,Engineer,8/16/1996
29756,Kazuhide,Nittel,Engineer,8/20/1994
29759,Arif,Thimonier,Senior Staff,2/14/1992
29760,Jinya,Paludetto,Senior Staff,9/11/1985
29762,Lucien,Junot,Senior Staff,11/10/1996
29765,Nishit,Ranta,Staff,8/3/1988
29769,Lansing,Schahn,Senior Staff,4/10/2001
29777,Dharmaraja,Muntz,Staff,8/7/1996
29785,Noritoshi,Rajala,Engineer,1/8/1989
29788,Radhia,Kaminger,Senior Engineer,9/9/1997
29789,Mong,Meszaros,Senior Staff,5/3/1999
29792,Selwyn,Sridhar,Senior Staff,8/12/1989
29794,Florina,Underwood,Staff,7/12/1996
29795,Kristine,Sessa,Senior Staff,5/6/1997
29796,Munehiko,Muniz,Senior Engineer,7/27/2000
29797,Selwyn,Krzyzanowski,Technique Leader,10/18/1988
29798,Gal,Cesareni,Engineer,1/2/1996
29799,Weiyi,Kroon,Staff,3/5/1997
29802,Herb,Paciorek,Senior Engineer,6/6/2001
29803,Steen,Comte,Engineer,1/25/1998
29805,Branimir,Thisen,Senior Staff,2/7/2002
29807,Kazuhiko,Peltason,Staff,11/25/1998
29809,Foong,Fortenbacher,Senior Staff,9/11/1989
29810,Arne,Madeira,Senior Engineer,11/25/1993
29811,Erzsebet,Kohling,Technique Leader,12/17/1987
29812,Yefim,Gimarc,Engineer,7/26/1999
29813,Jianhua,Fujisaki,Senior Staff,6/17/1997
29814,Ulf,Karunanithi,Engineer,2/23/1997
29816,Kiyomitsu,Munck,Senior Engineer,5/19/1997
29817,Florian,Sadowski,Senior Engineer,2/20/1992
29819,Subhrajyoti,Ghelli,Senior Staff,7/18/1994
29822,Prodip,Sifakis,Staff,5/29/1990
29825,Jeong,Kenevan,Senior Engineer,3/17/1995
29829,Pranjal,Pepe,Senior Engineer,3/28/1992
29830,Rafael,Mansanne,Staff,1/29/1990
29833,Georgi,Kawashima,Engineer,3/5/1994
29835,Harjit,Nyrup,Senior Staff,1/23/1999
29836,Kazuhiko,Ossenbruggen,Senior Staff,10/21/1998
29848,Malu,Hanratty,Engineer,7/3/1996
29849,Phule,Peha,Senior Staff,10/2/2001
29850,Hyuncheol,Junot,Senior Staff,1/12/1990
29855,Neelam,Kulisch,Senior Engineer,12/8/1986
29856,Yuichiro,Pardalos,Senior Engineer,9/23/1988
29862,Urs,Llado,Senior Staff,4/19/1990
29865,Mingsen,Genther,Senior Staff,5/5/1999
29869,Mads,Camurati,Engineer,7/19/1999
29870,Troy,Stranks,Staff,3/5/1997
29871,Xiaobin,Pocchiola,Senior Engineer,3/12/1996
29873,Monique,Aloisi,Senior Engineer,12/9/2000
29877,Mingsen,Kitai,Senior Staff,6/2/1994
29878,Rajmohan,Schonegge,Engineer,10/31/1996
29881,Luerbio,Engelmann,Engineer,11/18/1990
29887,Boaz,Fandrianto,Senior Staff,10/9/1992
29890,Stabislas,Lores,Senior Staff,1/27/1992
29892,Keung,Hebden,Engineer,1/11/1999
29895,Maja,Encarnacion,Senior Engineer,9/3/1986
29899,Yinghua,Juneja,Staff,4/13/1994
29902,Kasturi,Asser,Senior Staff,12/5/1987
29903,Chiranjit,Engberts,Engineer,7/2/1989
29905,Guther,Koyama,Senior Staff,12/27/1996
29909,Arvind,Menyhert,Staff,5/18/1993
29911,Jiafu,Schnelling,Senior Staff,1/23/1997
29913,Falguni,Rajala,Senior Staff,8/2/2000
29915,JoAnne,Maquelin,Staff,1/1/1992
29916,Boaz,Escriba,Technique Leader,9/10/1997
29917,Sahrah,Roohalamini,Senior Engineer,2/28/1998
29919,Goa,Kugler,Senior Engineer,9/27/1993
29922,Hironobu,Chvatal,Senior Engineer,12/26/1995
29927,Kwun,Schiettecatte,Senior Staff,5/14/2001
29938,Mariusz,Serna,Senior Engineer,2/3/1999
29946,Shooichi,McClure,Senior Staff,8/15/1991
29948,Elzbieta,Kruskal,Senior Engineer,7/13/1992
29950,Laurentiu,Vasanthakumar,Engineer,10/15/2000
29952,Jianhao,Kusakari,Engineer,2/24/1999
29955,Dannz,Bondorf,Staff,3/15/1997
29962,Hideo,Thebaut,Staff,7/19/1997
29963,Tristan,Roison,Senior Engineer,12/9/1991
29969,Lena,McAffer,Senior Engineer,5/14/1987
29976,Youjian,Brendel,Engineer,9/25/1998
29983,Lucian,Christ,Senior Engineer,8/23/1993
29985,Marin,Roisin,Senior Engineer,2/16/1990
29987,Sachem,Brandsma,Staff,7/26/1988
29989,Zorica,Borstler,Staff,4/2/1997
29991,Aral,Rosenbaum,Senior Staff,7/12/1995
29993,Claudi,Murthy,Technique Leader,8/30/1997
29996,Gennady,Pfau,Engineer,12/17/1993
29998,Chanjung,Riesenhuber,Senior Engineer,5/12/1998
30000,Matt,Avouris,Senior Engineer,10/21/1993
30001,Izaskun,Morton,Senior Staff,5/21/1996
30003,Takahito,Vilarrasa,Senior Staff,1/6/1998
30005,Ramachenga,Nourani,Engineer,4/18/1993
30008,Tsutomu,Kalafatis,Senior Engineer,9/18/1995
30016,Nathan,Nastansky,Senior Engineer,9/24/1996
30020,Masadi,Brobst,Engineer,8/25/1993
30021,Martijn,Rosca,Senior Staff,6/1/1996
30022,Ger,Genin,Senior Staff,1/7/1996
30025,Jianhao,Mansanne,Senior Staff,10/20/1991
30039,Ronghao,Antonisse,Senior Engineer,2/7/1995
30047,Utpal,Schlumberger,Senior Staff,8/17/1999
30057,Atilio,Magliocco,Staff,7/9/1987
30062,Phuoc,Ertl,Senior Engineer,6/4/1996
30067,Francoise,Georg,Engineer,11/11/1995
30068,Zhenbing,Klassen,Senior Engineer,12/30/1990
30071,Khedija,Sabnani,Staff,6/16/1991
30072,Owen,Kalafatis,Senior Staff,12/4/1991
30075,Bojan,Zedlitz,Senior Staff,3/7/1987
30078,Greger,Thummel,Senior Staff,3/17/1997
30083,Wanqing,Burnard,Senior Engineer,2/4/1995
30084,Jiafu,Cronin,Senior Engineer,2/25/1994
30085,Emdad,Rothenberg,Senior Staff,7/11/1997
30090,Hausi,Siprelle,Senior Staff,2/15/2001
30092,Kristof,Pusterhofer,Senior Engineer,1/23/2002
30097,Minghong,Bardell,Engineer,7/11/1995
30101,Berni,Olano,Technique Leader,12/23/1986
30102,Ranan,Asrin,Senior Engineer,1/22/2001
30103,Murthy,Gini,Senior Staff,1/10/1997
30104,Eishiro,Krohn,Senior Engineer,4/15/1998
30106,Zeljko,Yamaashi,Engineer,3/21/1999
30107,Sungwon,Reinhard,Engineer,4/10/1995
30109,Kiyokazu,Legleitner,Senior Engineer,4/3/2001
30110,Shai,Gelosh,Engineer,3/30/1986
30111,Remzi,Naumovich,Staff,10/22/1990
30114,Mikhail,Asrin,Senior Staff,4/24/1996
30119,Ramalingam,Tagansky,Senior Staff,3/18/2001
30120,Francoise,Ghelli,Engineer,1/18/1998
30123,Rosita,Baba,Technique Leader,1/16/1988
30124,Ferdinand,Lund,Engineer,8/16/1996
30133,Tonny,Bharadwaj,Senior Engineer,7/12/2000
30136,Unal,Baranowski,Senior Staff,10/8/1986
30143,Indrajit,Huttel,Senior Staff,11/6/1998
30147,Richard,Bennet,Staff,9/2/1999
30148,Lakshmi,Linnainmaa,Senior Staff,8/10/1993
30149,Leon,Bugaenko,Engineer,9/3/1996
30161,Muzhong,Gimarc,Senior Engineer,12/21/1999
30167,Sorina,Tiemann,Senior Engineer,7/25/1993
30172,Randy,Matzke,Senior Staff,11/4/1999
30179,Shirish,Krzyzanowski,Senior Staff,1/31/1993
30181,Shunichi,Ariola,Senior Staff,6/16/1997
30189,Krisda,Koblick,Technique Leader,12/24/1986
30191,Gian,Azevdeo,Engineer,9/10/1998
30192,Stevo,Back,Technique Leader,5/13/1990
30193,Vincent,Slobodova,Engineer,10/16/1991
30198,Saeed,Arlazarov,Senior Staff,8/15/2000
30203,Atreyi,Vidya,Engineer,3/20/1999
30206,Toong,Mandelberg,Senior Staff,4/7/1988
30209,Yannis,Aloisi,Senior Staff,12/22/2000
30213,Srinidhi,Restivo,Engineer,8/14/1999
30215,Djelloul,Jiang,Senior Engineer,9/2/1999
30216,Tsuneo,Baer,Engineer,5/6/1997
30220,Marjo,Bouloucos,Engineer,9/4/1997
30223,Jasminko,Melski,Senior Engineer,4/17/1997
30226,Shiv,Reghbati,Senior Engineer,12/1/1997
30231,Heon,Cichocki,Senior Engineer,3/3/1995
30235,Tuval,Crelier,Senior Staff,2/8/2002
30239,Barry,Conte,Senior Staff,9/11/1998
30240,Berry,Merks,Senior Staff,3/29/1998
30241,Kensyu,Thiran,Senior Engineer,11/12/1994
30242,Maris,Viele,Senior Engineer,1/7/1995
30247,Jeanne,Ranum,Senior Engineer,2/11/1991
30251,Tadanori,Radhakrishnan,Senior Staff,4/15/1998
30252,Junichi,Keustermans,Engineer,3/20/1997
30253,Renee,Valette,Senior Staff,5/2/1993
30258,Kazuhiko,Versino,Senior Staff,7/15/1995
30260,Trygve,Feinberg,Senior Staff,8/12/1997
30261,Bernardo,Claffy,Senior Engineer,2/25/2002
30263,Prodip,Acton,Engineer,9/27/1996
30266,Yongdong,Luders,Staff,1/29/1990
30269,Dharmaraja,Valtorta,Senior Staff,12/2/1994
30274,Hironoby,Chiola,Senior Engineer,3/7/1995
30275,Miquel,Malabarba,Senior Engineer,3/3/2001
30276,Kazuhiko,Matheson,Senior Engineer,7/19/2000
30278,Yolla,Clemencon,Engineer,5/23/1998
30283,Zeydy,Juneja,Senior Engineer,7/24/1992
30285,Parke,Cyre,Senior Engineer,3/29/1994
30286,Doowon,Leslie,Senior Staff,9/15/1996
30289,Kiyomitsu,Vuskovic,Senior Engineer,9/9/1993
30297,Jiang,Birjandi,Staff,5/27/1990
30300,Gilbert,Klassen,Engineer,9/21/1999
30302,Amstein,Sankaranarayanan,Senior Staff,8/16/1992
30303,Hyuckchul,Melter,Engineer,2/8/1997
30305,Pramod,Chappelet,Senior Staff,5/30/1996
30309,Jayesh,Azevdeo,Staff,4/12/1997
30310,Mototsugu,Senzako,Engineer,8/31/1995
30313,Srinidhi,Candan,Senior Engineer,10/31/2000
30314,Quingbo,Beutelspacher,Assistant Engineer,6/16/1996
30318,Tremaine,Gien,Senior Engineer,7/1/1992
30319,Tomofumi,Driscoll,Staff,4/28/1999
30320,Kristine,Facello,Senior Engineer,6/9/1996
30324,Thanasis,Hambrick,Senior Staff,9/1/1989
30329,Shim,Soicher,Senior Engineer,7/4/2001
30330,Caolyn,Nitsch,Senior Staff,11/9/1996
30331,Lene,Vuskovic,Senior Engineer,2/4/2000
30332,Nathalie,Oppitz,Senior Staff,7/8/2000
30334,Yongqiao,Atchley,Senior Staff,6/23/1991
30340,Fumiya,Condotta,Senior Engineer,11/26/2000
30342,Xiaoheng,Heystek,Senior Engineer,6/14/1996
30351,Djenana,Blokdijk,Senior Staff,7/15/1991
30354,Lansing,Orlowska,Engineer,5/24/1997
30358,Phuoc,Radhakrishnan,Technique Leader,10/5/1989
30361,Nidapan,DasSarma,Engineer,8/22/1995
30362,Taizo,Beidas,Staff,11/26/1998
30363,Dante,Karcich,Staff,4/1/1994
30364,Miquel,Byoun,Senior Engineer,6/26/1997
30371,Sukumar,Jansch,Engineer,1/26/1991
30372,Xiadong,Maccarone,Staff,5/4/1994
30373,Jayesh,Vasanthakumar,Senior Staff,6/14/1992
30374,Xiaocheng,Reinhart,Senior Engineer,1/18/1994
30380,Jianhao,Templeman,Engineer,11/28/1996
30381,Sampalli,Hartvigsen,Senior Engineer,6/17/1989
30390,Oddvar,Pocchiola,Senior Staff,6/8/1994
30396,Vishv,Hmelo,Senior Engineer,5/26/1993
30406,LiMin,Vickson,Staff,5/21/1991
30407,Toshiki,Coors,Senior Staff,3/12/1987
30408,Masasuke,Crelier,Engineer,10/7/1998
30409,Eberhardt,Kornyak,Senior Engineer,10/18/1995
30410,Feiyu,Menyhert,Senior Staff,11/6/1992
30418,Adit,Perl,Senior Staff,8/31/1996
30419,Peer,Kulisch,Senior Engineer,8/11/1993
30424,Hsiangchu,Jenevein,Senior Engineer,4/27/1996
30425,Rimli,Akazan,Senior Staff,10/27/1997
30434,Shay,Sury,Technique Leader,7/7/1991
30437,Mahmut,Otillio,Engineer,5/9/2000
30439,Masasuke,Lamba,Staff,2/18/1995
30441,Janche,Lorin,Staff,1/22/1997
30448,Jacqueline,Brodie,Senior Staff,7/23/2000
30451,Moti,Pileggi,Senior Engineer,12/10/1997
30454,Pradeep,Plessier,Senior Engineer,6/4/1995
30466,Sumant,Giaccio,Senior Staff,2/20/1999
30470,Siamak,Jayawardene,Senior Engineer,7/30/1999
30475,Weicheng,Orlowski,Engineer,11/25/1997
30478,Gad,Ozeri,Senior Engineer,6/29/1999
30479,Shigenori,Kampfer,Engineer,10/16/1997
30497,Youjian,Pettis,Senior Staff,7/8/1994
30498,Heng,Jervis,Engineer,11/12/1996
30500,Mang,Wallrath,Senior Engineer,12/22/1997
30501,Jiang,Shiratori,Engineer,9/14/1999
30506,Yakkov,Chandrasekhar,Senior Staff,1/27/1997
30507,Adamantios,Remmers,Senior Engineer,2/27/1998
30508,Herbert,Aloisi,Staff,2/3/1997
30509,Keiichiro,Comellas,Senior Staff,4/29/1993
30513,Eric,Limongiello,Senior Staff,4/18/1989
30514,Leon,Rouquie,Engineer,7/12/1999
30515,Surveyors,Walstra,Senior Staff,6/23/1999
30516,Houman,Ishibashi,Engineer,12/29/1986
30519,Valeri,Lukaszewicz,Engineer,2/17/1989
30521,Tetsushi,Kroha,Engineer,7/24/1997
30525,Snehasis,Matzen,Senior Staff,10/18/1991
30528,Ewing,Hiroyama,Staff,12/11/1993
30529,Edwin,Cooley,Senior Staff,7/30/1989
30530,LiMin,McFarlan,Engineer,11/4/1997
30531,Limsoon,Talmor,Senior Engineer,4/28/2000
30537,Bluma,Gini,Senior Engineer,10/19/1993
30546,Janalee,Oehlmann,Senior Staff,8/30/2000
30550,Quingbo,Hofstetter,Engineer,12/4/1998
30555,Dante,Hiraishi,Staff,10/11/1999
30557,Goncalo,Manders,Senior Staff,7/16/1994
30559,Moss,Neimat,Senior Staff,1/26/2000
30567,Duke,Nitta,Senior Staff,8/10/1999
30569,Haldon,Gajiwala,Senior Engineer,6/28/1997
30571,Ziva,Bonifati,Engineer,7/31/1997
30572,Fabrizio,Trumbly,Staff,6/5/1998
30573,Marie,Rijckaert,Technique Leader,4/28/1989
30576,Christfried,Heijenga,Engineer,9/28/1997
30577,JoAnna,Rosaz,Engineer,12/17/1998
30582,Oscar,Kavanagh,Engineer,12/20/1997
30586,Jianhao,Curless,Technique Leader,8/20/1990
30588,Chandrasekaran,Tokunaga,Staff,6/30/1997
30589,Chirstian,Reistad,Senior Engineer,10/26/1993
30592,Bernt,Mapelli,Engineer,7/24/1992
30599,Divier,Bierman,Senior Engineer,7/17/1997
30601,Gilbert,Cyne,Senior Staff,3/20/1994
30606,Chuanyi,Shrader,Senior Engineer,6/22/2002
30614,Nalini,Peir,Assistant Engineer,3/7/1998
30618,Weicheng,Zweizig,Engineer,10/31/1997
30620,Dung,Niizuma,Senior Engineer,6/3/1998
30622,Naftali,Perko,Senior Engineer,1/12/1987
30624,Gou,Rosiles,Staff,10/9/1997
30633,Arra,Ranta,Senior Engineer,1/5/1987
30634,Patricio,Farrel,Senior Engineer,12/6/1987
30636,Zejun,Liesche,Engineer,5/6/1994
30644,Marlo,Hegner,Engineer,2/11/1996
30645,Saddek,Herbst,Engineer,4/18/1996
30648,Macha,Chartres,Senior Engineer,6/4/1986
30649,Baruch,Peron,Technique Leader,10/20/1995
30651,Tsutomu,Uhrig,Engineer,1/14/1994
30655,Xuedong,Anandan,Senior Staff,2/4/1993
30656,Gritta,Ranst,Engineer,11/24/1999
30658,Shimshon,Benaini,Senior Staff,12/3/1997
30661,Kiyokazu,Genin,Staff,10/21/1998
30662,Basil,Pouyioutas,Senior Staff,2/26/1997
30663,Gurbir,Sigstam,Senior Staff,8/23/1995
30664,Jixiang,Peot,Senior Engineer,1/10/1996
30665,Hideo,Hitomi,Senior Staff,1/24/2002
30666,Guadalupe,Clemencon,Senior Engineer,6/15/1986
30667,Taiji,Pews,Engineer,10/22/1995
30670,Lillian,Zizka,Staff,6/27/1997
30671,Chinya,Szemeredi,Senior Engineer,2/17/1999
30672,Theirry,Luff,Senior Staff,12/4/2000
30673,Berry,Ozeki,Senior Staff,7/6/1995
30679,Shushma,Gargeya,Senior Staff,7/11/1988
30687,Bodh,Soicher,Senior Staff,11/15/1990
30689,Jeong,Potthoff,Senior Staff,6/14/1992
30698,Djenana,Kropp,Senior Staff,8/16/1994
30701,Tse,Pollock,Staff,3/18/1992
30702,Vincent,Shumilov,Engineer,3/3/1996
30705,Satoru,Teitelbaum,Staff,1/2/1997
30706,Genki,Stanger,Senior Engineer,7/7/1993
30712,Lijie,Byoun,Senior Engineer,5/10/1993
30713,Chriss,Chepyzhov,Senior Staff,11/5/2000
30715,Denny,Sgarro,Technique Leader,3/29/1991
30727,Toshimitsu,Sury,Senior Staff,8/25/1994
30730,Willard,Pelc,Senior Staff,2/12/1986
30744,Khatoun,Fadgyas,Senior Staff,4/15/1997
30745,Basil,Turnbull,Staff,6/17/1985
30747,Uma,Laurillard,Senior Engineer,3/8/1999
30748,Katsuyuki,Uchoa,Senior Staff,8/14/1998
30749,Sangeeta,Acton,Technique Leader,8/8/1990
30753,Cullen,Khalid,Senior Engineer,5/30/1995
30754,Shigenori,Shanbhogue,Senior Engineer,6/11/1999
30761,Hisao,Iisaka,Senior Engineer,3/31/1990
30764,Heping,Qiwen,Senior Engineer,6/13/1990
30766,Tesuya,Gulak,Staff,7/30/1996
30769,Berry,Frolund,Senior Staff,1/11/1994
30770,Shimshon,Fabrizio,Engineer,2/20/1998
30772,Badri,Kandlur,Technique Leader,9/27/1999
30774,Gunilla,Hettesheimer,Senior Staff,7/26/1996
30775,Susanna,Ecklund,Engineer,3/13/1999
30780,Boguslaw,Swab,Senior Engineer,10/9/1999
30784,Along,Griswold,Staff,8/22/1998
30788,Kazuhisa,Schaft,Senior Staff,7/21/2000
30791,Xiong,Ariola,Technique Leader,9/13/1986
30795,Saniya,Gulak,Engineer,10/15/1998
30800,Nevin,Fandrianto,Senior Engineer,11/3/1991
30802,Keung,Bernini,Senior Engineer,7/27/1996
30806,Leen,Furudate,Engineer,3/3/1998
30808,Tristan,Chepyzhov,Senior Engineer,3/5/1990
30809,Zengping,Kermarrec,Engineer,10/4/1999
30819,Sachio,Asrin,Senior Engineer,11/23/1997
30824,Subbu,Bellone,Senior Staff,6/21/1993
30828,Duke,Baumann,Senior Engineer,12/6/1994
30829,Kagan,Schaft,Senior Engineer,3/8/1999
30831,Arno,Kermarrec,Senior Staff,11/17/1995
30833,Chaoyi,Cichocki,Senior Engineer,4/14/1993
30834,Van,Erdi,Senior Staff,10/8/1994
30836,Sachem,Mitsuhashi,Senior Engineer,11/28/1992
30844,Aran,Kugler,Staff,9/14/1998
30846,Nidapan,Montresor,Senior Engineer,10/22/1994
30851,Ortrun,Castellani,Senior Staff,5/11/1993
30853,Jasminko,Bade,Staff,5/10/1992
30854,Zeljko,Poehlman,Engineer,8/24/1997
30856,Chaosheng,Lampe,Senior Engineer,5/18/1999
30859,Eckart,Nitta,Engineer,5/18/1997
30861,Mani,Cusworth,Staff,4/23/1997
30864,Remco,Sigstam,Senior Staff,9/16/1994
30872,Dulce,Ranze,Staff,8/4/1993
30873,Remco,Matteis,Senior Staff,2/21/1994
30875,Zito,Baja,Engineer,9/7/1998
30879,Lenore,Plessier,Assistant Engineer,11/29/1999
30882,Kiam,Ulupinar,Staff,9/2/1985
30893,Tooru,Rossi,Technique Leader,9/4/1998
30897,Anwar,Collette,Senior Engineer,7/9/1994
30899,Dannz,Keirsey,Senior Staff,8/23/1997
30910,Luise,Zastre,Senior Engineer,6/27/2001
30915,Tomoyuki,Sabnani,Engineer,5/7/1997
30919,Leen,Cochrane,Senior Engineer,5/22/1998
30923,Chandrasekaran,Ellozy,Staff,7/16/1995
30926,Khoa,Salinas,Senior Engineer,1/7/1990
30931,Jongsuk,Limongiello,Staff,11/29/1996
30935,Toshimo,Sidhu,Engineer,5/25/1998
30936,Rosalyn,Attimonelli,Senior Engineer,7/24/1988
30942,Henk,Ranta,Staff,2/15/1989
30948,Xinan,Lunt,Senior Engineer,5/27/2002
30951,Alagu,Matzen,Senior Engineer,8/25/1993
30953,Mototsugu,Mukaidono,Senior Staff,8/2/1996
30957,Xinglin,Schnabel,Senior Engineer,11/19/1992
30958,Sham,Jayawardene,Senior Engineer,8/20/1996
30960,Ute,Belinskaya,Staff,1/27/1996
30968,Ingemar,Karlin,Senior Staff,9/3/1993
30969,Berry,Imataki,Senior Staff,8/17/1996
30978,Gunilla,Onuegbe,Staff,7/25/1995
30979,Taegyun,Zastre,Engineer,12/17/1994
30981,Ipke,Ranft,Engineer,1/30/1997
30983,Nidapan,Petersohn,Senior Staff,2/25/1992
30988,Zhiguo,Murtha,Senior Staff,2/8/2001
30989,Fumitake,Crooks,Engineer,8/6/1999
30991,Jaber,Andreotta,Staff,8/8/1996
30993,Sreenivas,Hofmeyr,Senior Engineer,12/1/1999
30994,Pranay,Alpin,Assistant Engineer,11/13/1988
30998,Zhongwei,Ebeling,Senior Engineer,5/14/1997
30999,Yuuichi,Lorys,Senior Staff,8/10/1985
31005,Ulises,Gustavson,Senior Engineer,8/12/1997
31012,Sasan,Marletta,Engineer,10/10/1999
31017,Geoffry,Kitsuregawa,Staff,11/17/1997
31019,Arve,Junot,Senior Engineer,12/16/1998
31022,Masali,Ritzmann,Senior Staff,11/8/1990
31024,Xiadong,Ciolek,Senior Staff,4/12/1996
31025,Suebskul,Rijsenbrij,Senior Staff,5/26/1995
31027,Slavian,Tempesti,Senior Engineer,10/22/2000
31034,Faiza,Picaronny,Senior Engineer,1/27/2002
31036,Vivian,Orlowski,Senior Engineer,3/19/1996
31038,Arvin,Birnbaum,Senior Staff,4/19/1994
31058,Abdulah,Frezza,Senior Engineer,2/15/1988
31064,Xiaoheng,Zolotykh,Engineer,7/20/1994
31066,Sadun,Papsdorf,Senior Staff,1/1/1998
31070,Tru,Solares,Senior Staff,7/1/1991
31071,Jacqueline,Michaeli,Senior Engineer,4/6/2001
31075,Rafail,Merks,Senior Staff,2/4/1998
31085,Venkatesan,Merks,Engineer,12/28/1995
31088,Zongyan,Winter,Senior Engineer,12/11/2000
31089,Kshitij,Cannane,Senior Staff,6/13/1985
31091,Tua,Rebaine,Engineer,2/7/1999
31094,Augustine,Hempstead,Engineer,11/18/1995
31103,Gilbert,Szilard,Staff,1/24/1999
31104,King,Gihr,Senior Staff,7/8/1999
31106,Oscal,Kulisch,Senior Staff,3/25/1991
31117,Navin,Plumb,Staff,9/2/1994
31119,Yishay,Menhardt,Senior Engineer,8/24/1992
31122,Remko,Ghemri,Senior Engineer,11/21/1998
31127,Mizuhito,Puppo,Senior Staff,12/20/1987
31128,Serif,Frolund,Assistant Engineer,2/21/1996
31131,Conal,Zolotykh,Senior Staff,5/26/1996
31132,Barna,Ghalwash,Senior Staff,5/18/1999
31135,Lokesh,Hebert,Senior Staff,4/16/1996
31146,Shaibal,Asmuth,Senior Staff,10/8/1996
31160,Nakhoon,Demke,Senior Staff,2/5/1998
31161,Lena,Jiafu,Staff,10/28/1995
31167,Constantijn,Reinhard,Senior Engineer,11/1/1995
31171,Sashi,Przulj,Senior Staff,12/5/1994
31172,Fumitaka,Rohrbach,Engineer,8/13/1992
31176,Brewster,Narahari,Senior Engineer,12/25/1997
31189,Shounak,Erdmenger,Senior Staff,1/31/1994
31193,Ranan,Stranks,Engineer,12/7/1999
31196,Barry,Emmart,Senior Engineer,10/3/1988
31199,Abdelwaheb,Zuberek,Staff,12/16/1997
31204,Berry,Murillo,Engineer,9/17/1998
31212,Weicheng,Eppinger,Senior Staff,10/30/1998
31213,Koldo,Lamparter,Senior Staff,3/14/1993
31214,Weijing,Rebaine,Senior Engineer,12/2/1999
31215,Constantine,Schaft,Senior Staff,7/22/1996
31220,Radoslaw,Lund,Senior Staff,7/1/1993
31222,Shmuel,Billawala,Senior Staff,5/19/1995
31224,Uta,Apsitis,Senior Staff,7/27/1986
31226,Gennady,Vakili,Senior Staff,3/9/1996
31227,Aluzio,McConalogue,Senior Engineer,1/26/1992
31230,Dzung,Klyachko,Staff,7/2/1999
31233,Hatem,Waschkowski,Senior Engineer,8/13/1992
31235,Alejandra,Suessmith,Senior Engineer,5/4/2000
31244,Masasuke,Rohrbach,Senior Staff,9/4/1998
31252,Tzu,Ariola,Senior Staff,1/7/1996
31253,Troy,Pepe,Senior Engineer,8/19/1992
31257,Nectarios,Cherinka,Senior Engineer,3/20/1991
31260,Elliott,Schaaf,Staff,8/13/1998
31262,Dines,Flowers,Engineer,8/25/1998
31263,Yurij,Pena,Senior Engineer,9/3/1998
31266,Barna,Compeau,Staff,12/13/1997
31268,Nitsan,Pocchiola,Staff,9/7/1995
31269,Tran,Flexer,Engineer,3/13/1996
31274,Manton,Marquardt,Senior Staff,11/16/1994
31278,Chaosheng,Delaune,Senior Staff,8/11/1999
31280,Zsolt,Wynblatt,Senior Engineer,5/19/1992
31286,Marsha,Magliocco,Senior Engineer,6/3/1991
31287,Dmitry,Shrader,Staff,11/30/1992
31289,Zhigen,Luiz,Senior Staff,12/14/1992
31290,Masoud,Coullard,Assistant Engineer,7/27/1997
31292,Elgin,Terlouw,Senior Engineer,7/18/1991
31305,Nadjib,Luiz,Engineer,1/22/1999
31312,Tremaine,Chenney,Senior Engineer,1/17/1998
31313,Qunsheng,Tsukune,Senior Staff,1/5/1997
31316,Becky,Kambil,Senior Engineer,9/25/1998
31318,Lorien,Bednarek,Senior Staff,11/27/1994
31319,Xuejia,Melichar,Technique Leader,2/4/1997
31320,Val,Walston,Engineer,11/12/1999
31321,Gretta,Gelosh,Senior Engineer,3/29/1995
31326,Tesuya,Conta,Senior Engineer,3/21/1992
31328,Shigeo,Matzov,Senior Engineer,3/25/2000
31333,Kerhong,Jenevein,Technique Leader,12/9/1989
31340,Gennady,Marrakchi,Senior Engineer,5/6/1986
31343,Heon,Denos,Senior Staff,9/22/1988
31344,Saddek,Gerteisen,Senior Staff,4/29/1993
31348,Ravishankar,Randi,Senior Staff,12/20/1994
31361,Jouko,Danley,Staff,2/25/1999
31362,Bikash,Straney,Senior Engineer,4/15/1994
31363,Hidde,Merli,Senior Staff,1/22/1987
31367,Paloma,Antonakopoulos,Senior Engineer,2/18/1995
31369,Yishay,Birdsall,Senior Staff,2/4/2002
31371,Feixiong,Hartvigsen,Senior Engineer,5/20/1986
31372,Padma,Zaccaria,Senior Staff,3/22/1995
31373,Nevin,Wuwongse,Engineer,5/19/1997
31378,Kwun,Bellmore,Senior Engineer,7/23/1997
31380,Sastry,Coullard,Senior Engineer,12/26/1993
31384,JoAnne,Peac,Senior Staff,10/23/2001
31385,Barry,Daescu,Senior Staff,2/19/1987
31386,Matk,Cooke,Senior Engineer,4/2/1987
31387,Kazuyasu,Segond,Staff,6/20/1999
31389,Ranan,Gunderson,Senior Staff,11/21/1991
31390,Fei,Liedekerke,Staff,4/3/1998
31391,Maik,Mungall,Senior Staff,6/17/1992
31394,Martial,Lieberherr,Staff,6/25/1996
31395,Jayesh,Wursthorn,Staff,11/13/1998
31398,Hideo,Grospietsch,Senior Engineer,6/3/1992
31401,Hein,Sigstam,Senior Staff,3/31/2000
31402,Stabislas,Cools,Senior Engineer,12/19/1993
31404,Gererd,Narlikar,Senior Engineer,5/25/1997
31405,Ramzi,Haldar,Senior Staff,5/24/1997
31407,Chaosheng,Vernadat,Senior Staff,12/27/1990
31408,Huei,Sullins,Senior Staff,8/18/1997
